Home,Away,Home_Score,Away_Score,WDW_ Home,WDW_Away,PRDZ_Home,PRDZ_Away,FORE_Home,FORE_Away,VITI_Home,VITI_Away,FREESUPERTIPS_Home,FREESUPERTIPS_Away,SCOREPREDICTOR_Home,SCOREPREDICTOR_Away,Winner
RU,SA,5,0,2,0,,,1,0,,,,,,,1
EG,UR,0,1,0,1,,,1,2,,,,,,,3
MR,IR,0,1,1,0,,,1,0,,,,,,,3
PO,ES,3,3,1,1,,,2,2,,,,,,,2
FR,AT,2,1,3,0,2,0,3,0,2,1,3,1,2,0,1
PR,DK,0,1,1,1,1,1,0,0,1,1,1,1,1,1,3
AR,IC,1,1,2,1,2,0,2,0,2,1,4,1,2,1,2
CT,NG,2,0,2,0,1,0,3,1,2,1,2,1,2,0,1
CR,SR,0,1,0,2,0,2,1,1,1,1,1,1,1,1,3
BR,CH,1,1,1,0,1,0,3,0,2,1,3,0,1,1,2
GR,MX,0,1,3,1,2,0,2,1,2,1,3,1,2,0,3
SW,SK,1,0,1,0,2,1,0,0,2,1,1,0,3,0,1
BL,PN,3,0,5,0,4,0,3,0,2,0,3,0,2,0,1
TN,EN,1,2,0,2,0,2,0,2,1,2,0,1,1,1,3
CL,JP,,,1,0,2,0,3,1,2,1,2,0,3,0,
PL,SE,,,1,1,1,0,2,0,2,1,1,1,2,1,
RU,EG,,,1,1,1,1,1,1,2,1,2,1,3,1,
UR,SA,,,5,0,4,0,3,0,3,0,,,4,0,
PO,MR,,,1,0,2,1,3,0,3,0,,,2,0,
IR,ES,,,0,3,0,3,0,3,0,3,,,1,1,